“제발 음원 발매 해주세요...” 17일 공개되는 '효리X지은송',http://www.wikitree.co.kr/main/news_view.php?id=313980,http://www.wikitree.co.kr/main/news_view.php?id=313980,[WIKITREE 박수정 기자] JTBC '효리네 민박' 가수 <b>이효리</b> 씨와 아이유가 부른 '효리X지은송'이 오는 17일 공개된다. 17일(내일) 방송 예정인 JTBC '효리네 민박' 13회에서는 '효리X지은송'이 발표된다. '효리X지은송'은 <b>이효리</b>... ,"Sat, 16 Sep 2017 12:20:00 +0900"
'효리네 민박' PD가 밝힌 남편 이상순의 인기 비결(인터뷰),http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=108&aid=0002646315,http://star.mt.co.kr/view/stview.php?no=2017091518204340642&type=1&outlink=1,"'효리네 민박'은 <b>이효리</b>, 이상순 부부가 실제 거주 중인 제주도 자택에서 민박집을 운영한다는 콘셉트의 리얼리티 프로그램이다. 이상순은 신비로운 뮤지션의 이미지를 벗고 다정하면서도 배려 넘치는 남편상을 보여주고... ","Sat, 16 Sep 2017 11:58:00 +0900"
"효리X아이유송 녹음 현장, 내일 '효리네 민박'서 공개",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=079&aid=0003013029,http://www.nocutnews.co.kr/news/4848407,[CBS 17일 방송되는 JTBC '효리네 민박'에서는 <b>이효리</b>와 아이유가 직접 가사를 쓴 효리X아이유송이 공개된다. (사진=JTBC 제공)<b>이효리</b>-이상순 부부와 아이유가 같이 만든 노래의 녹음 현장이 공개된다. 오는 17일... ,"Sat, 16 Sep 2017 11:10:00 +0900"
&lt;효리네 민박&gt; 효리X지은송 탄생! 이상순과 함께한 열혈 녹음 현장 공개,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=408&aid=0000034182,http://enews.imbc.com/News/RetrieveNewsInfo/215687,<b>이효리</b>-이상순 부부와 아이유가 직접 만든 곡을 녹음 했다. 오는 17일(일) 방송되는 JTBC &lt;효리네 민박&gt;에서는 <b>이효리</b>-이상순 부부와 아이유가 지난 방송에서 직접 만든 곡을 녹음하는 현장이 공개된다. 이번 곡 은... ,"Sat, 16 Sep 2017 10:36:00 +0900"
"'효리네 민박', 이상순과 함께 효리X지은송 완성",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=111&aid=0000497606,http://joynews.inews24.com/php/news_view.php?g_menu=700200&g_serial=1048845&rrf=nv,"&lt;조이뉴스24&gt; [조이뉴스24 권혜림기자] <b>이효리</b>-이상순 부부와 아이유가 직접 만든 곡을 녹음 했다. 오는 17일 방송되는 JTBC '효리네 민박'(연출 정효민, 마건영)에서는 <b>이효리</b>-이상순 부부와 아이유가 지난 방송에서 직접... ","Sat, 16 Sep 2017 10:30:00 +0900"
'효리네 민박' <b>이효리</b> X 이상순 X 아이유가 함께한 곡 공개 '임박',http://www.stardailynews.co.kr/news/articleView.html?idxno=164457,http://www.stardailynews.co.kr/news/articleView.html?idxno=164457,효리네 민박 ⓒJTBC [스타데일리뉴스=황규준 기자] <b>이효리</b>-이상순 부부와 아이유가 직접 만든 곡을 녹음 했다. ? ? 오는 17일(일) 방송되는 JTBC '효리네 민박'에서는 <b>이효리</b>-이상순 부부와 아이유가 지난 방송에서 직접... ,"Sat, 16 Sep 2017 10:05:00 +0900"
[이명길의 연애즉문즉설] &lt;15&gt; 여자친구가 애를 갖고 싶대요,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=022&aid=0003209796,http://www.segye.com/content/html/2017/09/15/20170915004629.html?OutUrl=naver,"결혼하면 <b>이효리</b>나 장윤주처럼 살 거라고 생각하는 사람들이 많아졌는데, 그거 다 캐리비안의 해적 같은 판타지에요. 결혼은 리얼 다큐멘터리거든요. 여친 분 마음도 이해는 돼요. 사귀고 시간이 흐르면 ‘열정적인 연애’... ","Sat, 16 Sep 2017 10:00:00 +0900"
&quot;효리X지은송 탄생&quot;…'효리네' 이상순과 함께한 녹음 현장 포착,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=076&aid=0003151937,http://sports.chosun.com/news/ntype.htm?id=201709170100139580010214&servicedate=20170916,[스포츠조선닷컴 정안지 기자] <b>이효리</b>-이상순 부부와 아이유가 직접 만든 곡을 녹음 했다. 오는 17일(일) 방송되는 JTBC '효리네 민박'에서는 <b>이효리</b>-이상순 부부와 아이유가 지난 방송에서 직접 만든 곡을 녹음하는... ,"Sat, 16 Sep 2017 09:11:00 +0900"
`효리네 민박` 자작곡 탄생 순간 공개,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=009&aid=0004015593,http://star.mk.co.kr/new/view.php?mc=ST&year=2017&no=622563,<b>이효리</b>-이상순 부부와 아이유. '효리네 민박'으로 뭉친 이들의 공통분모는 역시 음악이었다. 17일 방송되는 JTBC 예능 프로그램 ‘효리네 민박’에서는 <b>이효리</b>-이상순 부부와 아이유가 지난 방송에서 직접 만든 곡을... ,"Sat, 16 Sep 2017 08:50:00 +0900"
‘효리네 민박’ 효리X지은송 탄생... <b>이효리</b>와 아이유의 보이스에 이상순의 ...,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=011&aid=0003113750,http://www.sedaily.com/NewsView/1OL1SAJ9M6,[서울경제] <b>이효리</b>-이상순 부부와 아이유가 직접 만든 곡을 녹음 했다. 오는 17일(일) 방송되는 JTBC ‘효리네 민박’에서는 <b>이효리</b>-이상순 부부와 아이유가 지난 방송에서 직접 만든 곡을 녹음하는 현장이 공개된다.... ,"Sat, 16 Sep 2017 08:50:00 +0900"
