구분, 통 , 반 , 세대수 , 계 , 남 , 여 ,전월대비세대증감,전월대비인구증감,데이터기준일자
고성동,19 ,109 ,2639 ,5476 ,2783 ,2693 ,-11 ,-23 ,2017-04-30
칠성동,36 ,240 ,8861 ,21791 ,10608 ,11183 ,-7 ,-3 ,2017-04-30
침산1동,18 ,87 ,2141 ,4788 ,2563 ,2225 ,7 ,11 ,2017-04-30
침산2동,22 ,141 ,5708 ,16869 ,8202 ,8667 ,7 ,14 ,2017-04-30
침산3동,30 ,204 ,7434 ,21606 ,10533 ,11073 ,2 ,-6 ,2017-04-30
노원동,31 ,171 ,5055 ,10654 ,5660 ,4994 ,9 ,9 ,2017-04-30
산격1동,27 ,159 ,5463 ,10925 ,5439 ,5486 ,-5 ,-35 ,2017-04-30
산격2동,21 ,142 ,4662 ,12226 ,6147 ,6079 ,-7 ,-37 ,2017-04-30
산격3동,24 ,127 ,4950 ,9124 ,4686 ,4438 ,16 ,12 ,2017-04-30
산격4동,21 ,126 ,4270 ,9348 ,4827 ,4521 ,-8 ,-17 ,2017-04-30
대 현 동,32 ,198 ,8921 ,19810 ,9920 ,9890 ,-6 ,-3 ,2017-04-30
복현1동,15 ,79 ,4021 ,7255 ,3928 ,3327 ,13 ,12 ,2017-04-30
복현2동,37 ,272 ,11471 ,31556 ,15623 ,15933 ,6 ,13 ,2017-04-30
검단동,16 ,95 ,3242 ,7762 ,3944 ,3818 ,-3 ,-26 ,2017-04-30
무태조야동,42 ,244 ,11432 ,29763 ,15178 ,14585 ,-26 ,-61 ,2017-04-30
관문동,45 ,240 ,11017 ,28306 ,14111 ,14195 ,38 ,76 ,2017-04-30
태전1동,32 ,205 ,9482 ,23923 ,12096 ,11827 ,-2 ,-26 ,2017-04-30
태전2동,35 ,230 ,9361 ,24234 ,12015 ,12219 ,-8 ,22 ,2017-04-30
구암동,45 ,314 ,13464 ,39581 ,19627 ,19954 ,-4 ,-34 ,2017-04-30
관음동,29 ,192 ,7619 ,19390 ,9659 ,9731 ,9 ,-24 ,2017-04-30
읍내동,40 ,231 ,10586 ,27870 ,13913 ,13957 ,25 ,-22 ,2017-04-30
동천동,35 ,252 ,10454 ,31212 ,15230 ,15982 ,-5 ,-40 ,2017-04-30
국우동,34 ,210 ,9658 ,26071 ,13041 ,13030 ,18 ,34 ,2017-04-30
