구분,통,반,세대수,인구수,남,여,전월대비세대증감,전월대비인구증감,데이터기준일자
고성동,19,110,3052,6741,3387,3354,9,8,2014-03-31
칠성동,35,225,7985,20597,10080,10517,53,65,2014-03-31
침산1동,18,87,2360,5503,2948,2555,-7,-21,2014-03-31
침산2동,22,140,5611,16910,8323,8587,94,248,2014-03-31
침산3동,30,204,7495,22293,10926,11367,33,58,2014-03-31
노원동,32,172,5297,11802,6265,5537,10,-1,2014-03-31
산격1동,27,159,5708,12064,5987,6077,15,-30,2014-03-31
산격2동,21,142,4678,13081,6616,6465,-6,-56,2014-03-31
산격3동,24,127,4751,9711,4910,4801,28,-9,2014-03-31
산격4동,21,126,4424,10146,5189,4957,-5,-36,2014-03-31
대현동,33,202,7954,18011,9088,8923,-9,-15,2014-03-31
복현1동,15,79,3751,7399,3896,3503,1,-56,2014-03-31
복현2동,38,274,10834,30767,15294,15473,314,815,2014-03-31
검단동,16,95,3321,8555,4396,4159,-7,-44,2014-03-31
무태조야동,42,244,11632,31074,15854,15220,3,-18,2014-03-31
관문동,29,168,6244,17882,9013,8869,17,-8,2014-03-31
태전1동,31,197,8918,23470,11852,11618,11,-5,2014-03-31
태전2동,35,230,9342,25836,12893,12943,10,-23,2014-03-31
구암동,47,336,13629,41785,20806,20979,-13,-29,2014-03-31
관음동,29,192,7954,21358,10682,10676,-17,-47,2014-03-31
읍내동,39,237,10638,29525,14739,14786,4,-37,2014-03-31
동천동,33,249,10509,32409,15825,16584,-9,-64,2014-03-31
국우동,34,210,9549,26775,13414,13361,3,-18,2014-03-31
