구분,통,반,세대수,인구수,남,여,전월대비세대증감,전월대비인구증감,데이터기준일자
고성동,19,110,3043,6733,3391,3342,-13,-52,2014-02-28
칠성동,35,225,7932,20532,10042,10490,14,-26,2014-02-28
침산1동,18,87,2367,5524,2966,2558,-9,-15,2014-02-28
침산2동,22,140,5517,16662,8177,8485,-6,-32,2014-02-28
침산3동,30,204,7462,22235,10888,11347,11,14,2014-02-28
노원동,32,172,5287,11803,6268,5535,-10,-56,2014-02-28
산격1동,27,159,5693,12094,6001,6093,-19,-68,2014-02-28
산격2동,21,142,4684,13137,6630,6507,-20,-100,2014-02-28
산격3동,24,127,4723,9720,4924,4796,4,-18,2014-02-28
산격4동,21,126,4429,10182,5219,4963,-4,-30,2014-02-28
대현동,33,202,7963,18026,9121,8905,10,-53,2014-02-28
복현1동,15,79,3750,7455,3915,3540,25,-15,2014-02-28
복현2동,38,274,10520,29952,14885,15067,407,1125,2014-02-28
검단동,16,95,3328,8599,4425,4174,-11,-85,2014-02-28
무태조야동,42,244,11629,31092,15867,15225,-46,-283,2014-02-28
관문동,29,168,6227,17890,9027,8863,-20,-89,2014-02-28
태전1동,31,197,8907,23475,11869,11606,4,-73,2014-02-28
태전2동,35,230,9332,25859,12890,12969,4,-33,2014-02-28
구암동,47,336,13642,41814,20831,20983,-39,-140,2014-02-28
관음동,29,192,7971,21405,10714,10691,-17,-134,2014-02-28
읍내동,39,237,10634,29562,14752,14810,3,-69,2014-02-28
동천동,33,249,10518,32473,15840,16633,-31,-157,2014-02-28
국우동,34,210,9546,26793,13436,13357,-34,-112,2014-02-28
