구분, 통 , 반 , 세대수 , 계 , 남 , 여 ,전월대비세대증감,전월대비인구증감,데이터기준일자
고성동,19 ,109 ,2750 ,5810 ,2931 ,2879 ,-47 ,-133 ,2017-01-31
칠성동,36 ,240 ,8843 ,21820 ,10628 ,11192 ,-8 ,-28 ,2017-01-31
침산1동,18 ,87 ,2142 ,4816 ,2565 ,2251 ,-8 ,-28 ,2017-01-31
침산2동,22 ,141 ,5704 ,16886 ,8217 ,8669 ,4 ,-17 ,2017-01-31
침산3동,30 ,204 ,7416 ,21559 ,10519 ,11040 ,5 ,4 ,2017-01-31
노원동,31 ,171 ,5071 ,10691 ,5702 ,4989 ,-12 ,-30 ,2017-01-31
산격1동,27 ,159 ,5476 ,11040 ,5488 ,5552 ,-2 ,-45 ,2017-01-31
산격2동,21 ,142 ,4688 ,12321 ,6195 ,6126 ,-1 ,-25 ,2017-01-31
산격3동,24 ,127 ,4839 ,9039 ,4629 ,4410 ,-32 ,-83 ,2017-01-31
산격4동,21 ,126 ,4298 ,9434 ,4881 ,4553 ,-9 ,-47 ,2017-01-31
대 현 동,32 ,198 ,8873 ,19791 ,9905 ,9886 ,-6 ,-37 ,2017-01-31
복현1동,15 ,79 ,3971 ,7216 ,3898 ,3318 ,-28 ,-24 ,2017-01-31
복현2동,37 ,272 ,11471 ,31677 ,15697 ,15980 ,-26 ,-10 ,2017-01-31
검단동,16 ,95 ,3241 ,7799 ,3965 ,3834 ,-22 ,-75 ,2017-01-31
무태조야동,42 ,244 ,11473 ,29879 ,15236 ,14643 ,-14 ,-52 ,2017-01-31
관문동,45 ,240 ,10582 ,27508 ,13756 ,13752 ,544 ,1037 ,2017-01-31
태전1동,32 ,205 ,9437 ,23928 ,12129 ,11799 ,-54 ,-101 ,2017-01-31
태전2동,35 ,230 ,9344 ,24306 ,12045 ,12261 ,-25 ,-96 ,2017-01-31
구암동,45 ,314 ,13472 ,39768 ,19734 ,20034 ,-10 ,-86 ,2017-01-31
관음동,29 ,192 ,7634 ,19509 ,9719 ,9790 ,-19 ,-32 ,2017-01-31
읍내동,40 ,231 ,10590 ,28085 ,14020 ,14065 ,3 ,-11 ,2017-01-31
동천동,33 ,249 ,10459 ,31359 ,15338 ,16021 ,9 ,-22 ,2017-01-31
국우동,34 ,210 ,9638 ,26152 ,13097 ,13055 ,-11 ,-49 ,2017-01-31
