구분, 통 , 반 , 세대수 , 계 , 남 , 여 ,전월대비세대증감,전월대비인구증감,데이터기준일자
고성동,19 ,109 ,2684 ,5590 ,2834 ,2756 ,-66 ,-220 ,2017-02-28
칠성동,36 ,240 ,8852 ,21791 ,10606 ,11185 ,9 ,-29 ,2017-02-28
침산1동,18 ,87 ,2145 ,4811 ,2570 ,2241 ,3 ,-5 ,2017-02-28
침산2동,22 ,141 ,5709 ,16880 ,8217 ,8663 ,5 ,-6 ,2017-02-28
침산3동,30 ,204 ,7416 ,21583 ,10518 ,11065 ,0 ,24 ,2017-02-28
노원동,31 ,171 ,5048 ,10636 ,5660 ,4976 ,-23 ,-55 ,2017-02-28
산격1동,27 ,159 ,5472 ,11009 ,5487 ,5522 ,-4 ,-31 ,2017-02-28
산격2동,21 ,142 ,4680 ,12284 ,6176 ,6108 ,-8 ,-37 ,2017-02-28
산격3동,24 ,127 ,4902 ,9092 ,4651 ,4441 ,63 ,53 ,2017-02-28
산격4동,21 ,126 ,4277 ,9370 ,4843 ,4527 ,-21 ,-64 ,2017-02-28
대 현 동,32 ,198 ,8896 ,19775 ,9907 ,9868 ,23 ,-16 ,2017-02-28
복현1동,15 ,79 ,3985 ,7229 ,3911 ,3318 ,14 ,13 ,2017-02-28
복현2동,37 ,272 ,11476 ,31584 ,15643 ,15941 ,5 ,-93 ,2017-02-28
검단동,16 ,95 ,3239 ,7796 ,3959 ,3837 ,-2 ,-3 ,2017-02-28
무태조야동,42 ,244 ,11458 ,29850 ,15229 ,14621 ,-15 ,-29 ,2017-02-28
관문동,45 ,240 ,10886 ,28077 ,14023 ,14054 ,304 ,569 ,2017-02-28
태전1동,32 ,205 ,9476 ,23939 ,12117 ,11822 ,39 ,11 ,2017-02-28
태전2동,35 ,230 ,9359 ,24241 ,12008 ,12233 ,15 ,-65 ,2017-02-28
구암동,45 ,314 ,13462 ,39659 ,19686 ,19973 ,-10 ,-109 ,2017-02-28
관음동,29 ,192 ,7619 ,19428 ,9673 ,9755 ,-15 ,-81 ,2017-02-28
읍내동,40 ,231 ,10551 ,27963 ,13955 ,14008 ,-39 ,-122 ,2017-02-28
동천동,35 ,252 ,10449 ,31270 ,15272 ,15998 ,-10 ,-89 ,2017-02-28
국우동,34 ,210 ,9626 ,26030 ,13027 ,13003 ,-12 ,-122 ,2017-02-28
