구분,통,반,세대수,인구수,남,여,전월대비세대증감,전월대비인구증감,데이터기준일자
고성동,19,110,3037,6692,3368,3324,-15,-49,2014-04-30
칠성동,35,225,8006,20586,10064,10522,21,-11,2014-04-30
침산1동,18,87,2349,5479,2927,2552,-11,-24,2014-04-30
침산2동,22,140,5708,17179,8456,8723,97,269,2014-04-30
침산3동,30,204,7489,22201,10869,11332,-6,-92,2014-04-30
노원동,32,172,5274,11743,6234,5509,-23,-59,2014-04-30
산격1동,27,159,5699,12020,5962,6058,-9,-44,2014-04-30
산격2동,21,142,4676,13034,6590,6444,-2,-47,2014-04-30
산격3동,24,127,4729,9654,4881,4773,-22,-57,2014-04-30
산격4동,21,126,4406,10093,5171,4922,-18,-53,2014-04-30
대현동,33,202,7934,18004,9084,8920,-20,-7,2014-04-30
복현1동,15,79,3748,7368,3892,3476,-3,-31,2014-04-30
복현2동,38,274,11003,31300,15555,15745,169,533,2014-04-30
검단동,16,95,3317,8522,4384,4138,-4,-33,2014-04-30
무태조야동,42,244,11675,31131,15891,15240,43,57,2014-04-30
관문동,29,168,6237,17851,8992,8859,-7,-31,2014-04-30
태전1동,31,197,8931,23466,11853,11613,13,-4,2014-04-30
태전2동,35,230,9334,25823,12893,12930,-8,-13,2014-04-30
구암동,47,336,13624,41714,20771,20943,-5,-71,2014-04-30
관음동,29,192,7989,21378,10674,10704,35,20,2014-04-30
읍내동,39,237,10630,29492,14739,14753,-8,-33,2014-04-30
동천동,33,249,10504,32394,15816,16578,-5,-15,2014-04-30
국우동,34,210,9556,26779,13406,13373,7,4,2014-04-30
