구분,통,반,세대수,인구수,남,여,전월대비세대증감,전월대비인구증감,데이터기준일자
고성동,19,110,3056,6785,3424,3361,-8,-7,2014-01-31
칠성동,35,225,7918,20558,10056,10502,41,29,2014-01-31
침산1동,18,87,2376,5539,2972,2567,-5,-6,2014-01-31
침산2동,22,139,5523,16694,8189,8505,-16,-19,2014-01-31
침산3동,30,204,7451,22221,10894,11327,26,59,2014-01-31
노원동,32,172,5297,11859,6300,5559,-15,-49,2014-01-31
산격1동,27,159,5712,12162,6047,6115,-8,-45,2014-01-31
산격2동,21,142,4704,13237,6684,6553,-19,-97,2014-01-31
산격3동,24,127,4719,9738,4943,4795,-10,-37,2014-01-31
산격4동,21,126,4433,10212,5230,4982,-4,-27,2014-01-31
대현동,33,202,7953,18079,9146,8933,-3,-28,2014-01-31
복현1동,15,79,3725,7470,3906,3564,9,-26,2014-01-31
복현2동,38,274,10113,28827,14336,14491,47,41,2014-01-31
검단동,16,95,3339,8684,4471,4213,-2,-29,2014-01-31
무태조야동,42,244,11675,31375,15994,15381,-37,-119,2014-01-31
관문동,29,168,6247,17979,9081,8898,-21,-59,2014-01-31
태전1동,31,197,8903,23548,11909,11639,-50,-147,2014-01-31
태전2동,35,230,9328,25892,12916,12976,-17,-10,2014-01-31
구암동,47,336,13681,41954,20894,21060,-12,-41,2014-01-31
관음동,29,192,7988,21539,10776,10763,-17,-73,2014-01-31
읍내동,39,237,10631,29631,14794,14837,2,-74,2014-01-31
동천동,33,249,10549,32630,15918,16712,-11,-14,2014-01-31
국우동,34,210,9580,26905,13481,13424,-10,-63,2014-01-31
